 656-09-30 | Devon and Corwall defeated at Gaulford, bring the region under Wessern authority.
1519-03-28 | In Damvath, the child of merchant Blac Fissol dies of the plague, an early death of the Second Great Dying.
1522-12-20 | A fifth of the population of Vascony has died in the last three years due to the Second Great Dying.
1523-01-14 | Danish playwright Absolon Mortenszen is born in Vodscogh, near Alburg.
1532-03-24 | Arnoutszen publishes "Indole et Propagatione Ægroris" (On the Nature and Transmission of Disease) in Arhous, part of the Dane Concert.
1558-03-01 | King Thomas IV of Denmark begins his Grand Tour of the Dane Concert with his close family.
1559-06-23 | The play "Overclasse" (High Society) by Absolon Mortenszen, set in Barcelon, is first performed.
1601-04-05 | Ascension of Malik Hisham ar-Rashid to the throne of Libya (Eid 1009).
1610-12-30 | Malik Hisham ar-Rashid dies of pneumonia.
1666-06-11 | Vascony cedes Portugal to Andalus as part of the aftermath of the Romantic Wars.
1672-09-27 | David Bensaíd of Andalus publishes treatise on statecraft "The Three Cities", introducing the terms tin/copperplate to mean "left/right-wing".
1769-02-24 | The element machovin [strontium] first isolated in Sandomir, from ores taken from a mine in Machov.
1770-10-13 | Borlish folk song "Y Cant a Saçon" (The Season Song) written down in its modern form.
1780-05-10 | Taxonomic work "Discriptione Bestiarum Suboles Ferentis" (On the Classification of the Child-Bearing Beasts) is published by theorist Jan Prestr.
1795-01-14 | Saxon Elsebeth Schneider publishes "Durch einen Schwarzen Spiegel" (Through a Black Mirror), widely considered the first parachthon romance. This launches the Voidtale fashion.
1824-06-17 | First performance in Verona of Venetian Chiarina Bruno's opera "Ali in Fiamme" (Wings Afire), a retelling of the story of Icarus which famously takes place entirely after the events of the myth.
1827-04-01 | Saxon mathematician Johannes Dümmeyer publishes "Sammel und Sendungen" (Sets and Functions), an early outline of set theory.
1827-09-22 | Napolitan campaign in southern Africa forces the opening of the Caddicivene to the Eurasian markets.
1830-01-17 | Book on mathematical basework "Sunt Sevrant e Covrent" (Separating and Covering Elements) published in Vithor by Marc Ausbagn.
1834-10-25 | Artist Narayanan of Gujarat releases the first of his planetary lanscapes.
1870-11-02 | Publication by the Yievle Brethin Primers of "A Cyclopædia of British Persons (third edition)", by Wolfston Potter, a Wessern.
1870-02-26 | Textbook "An Overview of Revitalist Art in Sixteenth-Century Rome" is written by Safourian Amigòt and published by Prindor Nicês.
1920-09-18 | Book "The Alphabetical Albion" by Lucas Osborne et al. is published by Winchester Scholastic Primers.
1920-02-13 | Tale "A Door, Once Opened" by Clarissa Bellamy published by Sagittarius Editions.
1931-06-24 | Film "Frutto Amaro" (Bitter Fruit) released, produced by Maresca, covering Venice in the time of the Second Great Dying.
1940-12-06 | Aidan Donblane's textbook "An Abridged History of Northern Albion" is released by Cloddale Primers.
1961-02-16 | Winchester Scholastic Primers release "In Sickness and in Health: Medicine in pre-Arnoutszen Europe" by Andrew Knowles, second edition.
1980-07-08 | Book on the history of parachthon romance "New Skies, Old Stories" by Simon d’Estiala is published by Prindor Marsillès.
2003-01-14 | Éditions de l'Université à Paris publishes "Hommes en Noir : une Histoire d'Espionnage", written by Agathe Bisset.	
